profit,params,group
10472.56900000001,4000_4000,1
10465.73900000001,4001_4001,1
10460.39900000001,4002_4002,1
10462.36900000001,4003_4003,1
10461.40900000001,4004_4004,1
10452.76900000001,4005_4005,1
10453.30600000001,4006_4006,1
10466.14600000001,4007_4007,1
10467.126000000011,4008_4008,1
10467.67600000001,4009_4009,1
10462.44600000001,4010_4010,1
10457.826000000012,4011_4011,1
10463.84600000001,4012_4012,1
10469.08600000001,4013_4013,1
10467.24600000001,4014_4014,1
10448.67200000001,4015_4015,1
10448.982000000007,4016_4016,1
10454.25200000001,4017_4017,1
10432.90300000001,4018_4018,1
10433.663000000011,4019_4019,1
10433.59300000001,4020_4020,1
10427.98300000001,4021_4021,1
10436.86300000001,4022_4022,1
10438.233000000013,4023_4023,1
10442.47300000001,4024_4024,1
10446.42300000001,4025_4025,1
10439.02300000001,4026_4026,1
10439.44300000001,4027_4027,1
10449.330000000007,4028_4028,1
10444.60000000001,4029_4029,1
10449.72000000001,4030_4030,1
10444.54000000001,4031_4031,1
10442.95000000001,4032_4032,1
10435.71000000001,4033_4033,1
10432.73000000001,4034_4034,1
10434.010000000011,4035_4035,1
10432.55000000001,4036_4036,1
10427.940000000011,4037_4037,1
10430.92000000001,4038_4038,1
10432.16000000001,4039_4039,1
10431.56000000001,4040_4040,1
10432.510000000011,4041_4041,1
10433.48000000001,4042_4042,1
10428.590000000013,4043_4043,1
10427.370000000012,4044_4044,1
10429.620000000012,4045_4045,1
10434.270000000011,4046_4046,1
10436.170000000013,4047_4047,1
10444.250000000013,4048_4048,1
10447.18000000001,4049_4049,1
10453.96000000001,4050_4050,1
10457.15000000001,4051_4051,1
10452.440000000011,4052_4052,1
10443.89000000001,4053_4053,1
10446.99000000001,4054_4054,1
10444.290000000012,4055_4055,1
10446.060000000012,4056_4056,1
10446.480000000012,4057_4057,1
10460.470000000012,4058_4058,1
10463.710000000014,4059_4059,1
10465.410000000013,4060_4060,1
10466.440000000011,4061_4061,1
10468.300000000012,4062_4062,1
10464.920000000013,4063_4063,1
10463.770000000011,4064_4064,1
10465.570000000012,4065_4065,1
10469.160000000013,4066_4066,1
10469.540000000014,4067_4067,1
10475.480000000014,4068_4068,1
10475.090000000013,4069_4069,1
10479.640000000012,4070_4070,1
10479.560000000012,4071_4071,1
10480.850000000011,4072_4072,1
10480.920000000013,4073_4073,1
10473.690000000011,4074_4074,1
10475.650000000012,4075_4075,1
10462.773000000014,4076_4076,1
10471.903000000011,4077_4077,1
10468.210000000014,4078_4078,1
10458.710000000014,4079_4079,1
10456.850000000011,4080_4080,1
10457.090000000013,4081_4081,1
10458.800000000014,4082_4082,1
10463.970000000014,4083_4083,1
10473.320000000012,4084_4084,1
10469.680000000011,4085_4085,1
10465.560000000014,4086_4086,1
10459.790000000014,4087_4087,1
10462.340000000017,4088_4088,1
10458.020000000017,4089_4089,1
10461.480000000016,4090_4090,1
10501.404000000017,4091_4091,1
10501.854000000016,4092_4092,1
10512.055000000017,4093_4093,1
10511.615000000016,4094_4094,1
10507.165000000015,4095_4095,1
10495.605000000016,4096_4096,1
10499.005000000016,4097_4097,1
10502.295000000016,4098_4098,1
10500.975000000017,4099_4099,1
10498.418000000016,4100_4100,1
10491.908000000016,4101_4101,1
10491.838000000016,4102_4102,1
10486.048000000015,4103_4103,1
10484.128000000015,4104_4104,1
10489.908000000016,4105_4105,1
10482.328000000016,4106_4106,1
10478.108000000017,4107_4107,1
10477.948000000017,4108_4108,1
10479.788000000017,4109_4109,1
10479.928000000016,4110_4110,1
10473.968000000015,4111_4111,1
10479.478000000016,4112_4112,1
10473.838000000016,4113_4113,1
10476.288000000017,4114_4114,1
